ats,slug,company,careers_url,total_open_roles,relevant_open_roles,junior_relevant_open_roles,sample_relevant_title
greenhouse,mixpanel,mixpanel,https://boards.greenhouse.io/mixpanel,43,9,2,"Software Engineer, AI Platform"
greenhouse,lithic,lithic,https://boards.greenhouse.io/lithic,9,7,2,"Software Engineer, Treasury"
ashby,airbyte,airbyte,https://jobs.ashbyhq.com/airbyte,10,6,2,Customer Support Developer (Databases)
ashby,blacksmith,blacksmith,https://jobs.ashbyhq.com/blacksmith,19,6,2, Solutions Engineer
ashby,nomic,nomic,https://jobs.ashbyhq.com/nomic,5,5,2,Data Analyst
greenhouse,descope,descope,https://boards.greenhouse.io/descope,6,5,2,Full-Stack Software Engineer
greenhouse,labelbox,labelbox,https://boards.greenhouse.io/labelbox,8,5,2,"Forward Deployed Engineer, RL Environments"
ashby,secureframe,secureframe,https://jobs.ashbyhq.com/secureframe,18,5,2,Sales Solutions Engineer
ashby,miro,miro,https://jobs.ashbyhq.com/miro,44,5,2,Solutions Engineer
ashby,prefect,prefect,https://jobs.ashbyhq.com/prefect,5,4,2,Product Engineer (UI-Focused) — Horizon
greenhouse,builder,builder,https://boards.greenhouse.io/builder,5,4,2,Enterprise Sales Engineer
ashby,knock,knock,https://jobs.ashbyhq.com/knock,3,3,2,DevOps Engineer
ashby,unstructured,unstructured,https://jobs.ashbyhq.com/unstructured,6,3,2,Software Engineer - Public Sector
ashby,oso,oso,https://jobs.ashbyhq.com/oso,7,3,2,Developer Experience Engineer
greenhouse,osano,osano,https://boards.greenhouse.io/osano,8,3,2,Jr IT Analyst (part-time)
lever,immuta,immuta,https://jobs.lever.co/immuta,10,3,2,GTM Engineer
ashby,bland,bland,https://jobs.ashbyhq.com/bland,13,3,2,Agent Solutions Engineer
ashby,warp,warp,https://jobs.ashbyhq.com/warp,17,3,2,"Software Engineer, Product"
greenhouse,khanacademy,khanacademy,https://boards.greenhouse.io/khanacademy,22,3,2,M&E Analyst
greenhouse,warp,warp,https://boards.greenhouse.io/warp,3,2,2,Forward Deployed Engineer
greenhouse,figure,figure,https://boards.greenhouse.io/figure,18,2,2,Application Security Engineer 
greenhouse,zoominfo,zoominfo,https://boards.greenhouse.io/zoominfo,104,46,1,IT Support Engineer
